FIPS,value,,,
12063,31480,,,
12065,32371,,,
12067,33279,,,
12069,37099,,,
12071,38867,,,
12073,44463,,,
12075,27345,,,
12077,25875,,,
12079,38451,,,
12081,38614,,,
12083,34123,,,
12085,41685,,,
12086,39786,,,
12087,51780,,,
12089,49956,,,
12091,55926,,,
12093,30468,,,
12095,41749,,,
12097,36571,,,
12099,44983,,,
12101,36077,,,
12103,37234,,,
12105,35495,,,
12107,30742,,,
12109,50705,,,
12111,38823,,,
12113,55635,,,
12115,40067,,,
12117,43418,,,
12119,42458,,,
12121,35534,,,
12123,29551,,,
12125,32446,,,
12127,35250,,,
12129,36415,,,
12131,44337,,,
12133,30286,,,

13001,34375,,,
13003,33333,,,
13005,27625,,,
13007,45265,,,
13009,39375,,,
13011,26223,,,
13013,36070,,,
13015,41226,,,
13017,29298,,,
13019,35476,,,
13021,35293,,,
13023,36587,,,
13025,25331,,,
13027,30174,,,
13029,52687,,,
13031,38160,,,
13033,38170,,,
13035,39159,,,
13037,35227,,,
13039,51065,,,
13043,26991,,,
13045,46981,,,
13047,35287,,,
13049,32955,,,
13051,45361,,,
13053,37400,,,
13055,23664,,,
13057,50906,,,
13059,40851,,,
13061,24500,,,
13063,39806,,,
13065,20000,,,
13067,48639,,,
13069,27819,,,
13071,28189,,,
13073,57630,,,
13075,41359,,,
13077,54478,,,
13079,38550,,,
13081,31497,,,
13083,28606,,,
13085,37793,,,
13087,35906,,,
13089,44229,,,
13091,30883,,,
13093,18504,,,
13095,41448,,,
13097,43647,,,
13099,24063,,,
13101,43438,,,
13103,52805,,,
13105,27129,,,
13107,31353,,,
13109,32143,,,
13111,33877,,,
13113,64430,,,
13115,36832,,,
13117,56909,,,
13119,31400,,,
13121,46622,,,
13123,35827,,,
13125,42308,,,
13127,45173,,,
13129,35244,,,
13131,35877,,,
13133,50385,,,
13135,49353,,,
13137,37964,,,
13139,46105,,,
13141,26905,,,
13143,34310,,,
13145,54588,,,
13147,36417,,,
13149,35122,,,
13151,50941,,,
13153,56690,,,
13155,31964,,,
13157,41303,,,
13159,30446,,,
13161,24519,,,
13163,31887,,,
13165,23750,,,
13167,22750,,,
13169,36745,,,
13171,40795,,,
13173,40875,,,
13175,26609,,,
13177,44813,,,
13179,42044,,,
13181,35304,,,
13183,50588,,,
13185,41969,,,
13187,31706,,,
13189,40518,,,
13191,46062,,,
13193,22256,,,
13195,36737,,,
13197,32813,,,
13199,37011,,,
13201,26513,,,
13205,32888,,,
13207,40875,,,
13209,39138,,,
13211,40804,,,
13213,25459,,,
13215,42451,,,
13217,38666,,,
13219,54427,,,
13221,39656,,,
13223,45873,,,
13225,42786,,,
13227,46479,,,
13229,32301,,,
13231,35189,,,
13233,33712,,,
13235,35625,,,
13237,45625,,,
13239,32273,,,
13241,34425,,,
13243,19963,,,
13245,38099,,,
13247,50990,,,
13249,34387,,,
13251,24816,,,
13253,34395,,,
13255,42287,,,
13257,32575,,,
13259,27083,,,
13261,32441,,,
13263,32375,,,
13265,41094,,,
13267,36838,,,
13269,32799,,,
13271,15768,,,
13273,29853,,,
13275,34083,,,
13277,34335,,,
13279,30632,,,
13281,29983,,,
13283,26082,,,
13285,41751,,,
13287,30299,,,
13289,22273,,,
13291,35389,,,
13293,32578,,,
13295,31324,,,
13297,46911,,,
13299,30129,,,
13301,31050,,,
13303,33672,,,
13305,34274,,,
13307,38594,,,
13309,46250,,,
13311,33333,,,
13313,35367,,,
13315,38789,,,
13317,38438,,,
13319,32472,,,
13321,50720,,,

15001,35129,,,
15003,52936,,,
15005,,,,
15007,43005,,,
15009,43833,,,

16001,44829,,,
16003,36989,,,
16005,37177,,,
16007,36528,,,
16009,28381,,,
16011,33361,,,
16013,43857,,,
16015,35500,,,
16017,38440,,,
16019,40157,,,
16021,27054,,,
16023,37188,,,
16025,22287,,,
16027,35258,,,
16029,37212,,,
16031,31016,,,
16033,56250,,,
16035,34082,,,
16037,20509,,,
16039,43339,,,
16041,34239,,,
16043,38750,,,
16045,33125,,,
16047,29808,,,
16049,28211,,,
16051,50774,,,
16053,37679,,,
16055,39575,,,
16057,37560,,,
16059,24985,,,
16061,28646,,,
16063,30699,,,
16065,28250,,,
16067,32347,,,
16069,43268,,,
16071,34632,,,
16073,35031,,,
16075,41793,,,
16077,36548,,,
16079,33272,,,
16081,44201,,,
16083,36803,,,
16085,34790,,,
16087,40000,,,

17001,39679,,,
17003,26504,,,
17005,43508,,,
17007,40000,,,
17009,41382,,,
17011,37415,,,
17013,39861,,,
17015,41231,,,
17017,38024,,,
17019,45193,,,
17021,36726,,,
17023,36781,,,
17025,32043,,,
17027,43781,,,
17029,38868,,,
17031,40972,,,
17033,42500,,,
17035,34563,,,
17037,45118,,,
17039,37969,,,
17041,40000,,,
17043,53086,,,
17045,38967,,,
17047,39583,,,
17049,33182,,,
17051,36250,,,
17053,36111,,,
17055,30685,,,
17057,40365,,,
17059,32917,,,
17061,36466,,,
17063,51529,,,
17065,49391,,,
17067,37237,,,
17069,45500,,,
17071,37566,,,
17073,38991,,,
17075,31625,,,
17077,36947,,,
17079,31053,,,
17081,38009,,,
17083,41329,,,
17085,42750,,,
17087,44550,,,
17089,47222,,,
17091,35818,,,
17093,48939,,,
17095,35604,,,
17097,47302,,,
17099,40604,,,
17101,39467,,,
17103,41027,,,
17105,35099,,,
17107,41369,,,
17109,36075,,,
17111,48525,,,
