FIPS,value

01001,13.2
01003,11.6
01005,22
01007,14.3
01009,10.7
01011,24.8
01013,20.6
01015,15.7
01017,17.9
01019,12.5
01021,13.1
01023,19.5
01025,22.9
01027,14.5
01029,13.5
01031,14.2
01033,14.7
01035,20.9
01037,15.7
01039,14.6
01041,15.8
01043,11.8
01045,16.1
01047,27.2
01049,12.4
01051,13.3
01053,18.4
01055,14.6
01057,14.4
01059,12.9
01061,14.8
01063,29.7
01065,22.2
01067,14.2
01069,16.5
01071,13.6
01073,17.8
01075,15.2
01077,14
01079,13.4
01081,17
01083,12.2
01085,26.4
01087,25.6
01089,13.8
01091,22
01093,13.3
01095,12.2
01097,17.9
01099,24.1
01101,20.7
01103,12.9
01105,28.6
01107,18.9
01109,21
01111,15.3
01113,19.2
01115,11.7
01117,9.3
01119,27.7
01121,17.2
01123,16.6
01125,16.4
01127,14.6
01129,17.2
01131,29.3
01133,13.1

02013,12.5
02016,12.3
02020,12.1
02050,21.5
02060,12.2
02068,14.5
02070,16.5
02090,12.5
02100,13.3
02105,15.9
02110,10.3
02122,13.6
02130,13
02150,11.5
02158,27.4
02164,17.9
02170,12.8
02180,20.6
02185,14.2
02188,22.9
02195,12.6
02198,16.5
02220,12
02230,14.4
02240,15.4
02261,11.5
02275,14
02282,13.6
02290,23.2

04001,24.2
04003,13.9
04005,18
04007,16.8
04009,14.7
04011,11.6
04012,14.9
04013,13.7
04015,16.8
04017,20.9
04019,13.6
04021,13.3
04023,9.6
04025,14.9
04027,16.1

05001,19.4
05003,19.4
05005,13.9
05007,11.1
05009,14.6
05011,20.1
05013,17.1
05015,12.3
05017,25.7
05019,19.5
05021,17.3
05023,14.9
05025,17
05027,22.1
05029,17.1
05031,17.2
05033,13.8
05035,23.8
05037,18.5
05039,19.3
05041,25.6
05043,21.2
05045,16.2
05047,16
05049,16.5
05051,16.6
05053,13.4
05055,15.1
05057,19.1
05059,15.6
05061,17.1
05063,15.5
05065,15.8
05067,20.4
05069,24.7
05071,15.4
05073,21.9
05075,16.1
05077,26.2
05079,18.5
05081,18.4
05083,16
05085,13.9
05087,13.9
05089,15.3
05091,19.7
05093,23.3
05095,23.8
05097,14.9
05099,20.2
05101,14.2
05103,22.9
05105,14.7
05107,29.5
05109,14.7
05111,17.6
05113,17
05115,16
05117,16.9
05119,19.3
05121,16.5
05123,25.7
05125,11.9
05127,14.9
05129,15.1
05131,16.5
05133,12.1
05135,17.4
05137,17.2
05139,19.8
05141,16.2
05143,14.4
05145,15.9
05147,21.9
05149,13.2

06001,12.2
06003,14.3
06005,11.6
06007,16
06009,12.2
06011,11.8
06013,10.1
06015,16.4
06017,10.7
06019,14
06021,13
06023,16.2
06025,14.2
06027,11.2
06029,13.4
06031,13.2
06033,15.6
06035,13.9
06037,11.2
06039,11.4
06041,9.5
06043,14.2
06045,13.6
06047,13.1
06049,15.5
06051,10.7
06053,9.5
06055,8
06057,12.2
06059,9.2
06061,10.3
06063,15.5
06065,9.4
06067,14.4
06069,5.6
06071,10.1
06073,11
06075,13.3
06077,12.8
06079,11.6
06081,8.3
06083,9.8
06085,8.9
06087,11.1
06089,15.9
06091,13.2
06093,16.9
06095,12.6
06097,10
06099,11.9
06101,14.4
06103,14.4
06105,16.5
06107,13.2
06109,13.6
06111,7.6
06113,13.3
06115,14.9

08001,8
08003,12.3
08005,11.2
08007,10.3
08009,13.1
08011,13.1
08013,11.2
08014,9
08015,10.2
08017,9.8
08019,9.8
08021,7.9
08023,8.8
08025,12.3
08027,12.9
08029,12.8
08031,11.9
08033,12.4
08035,7.3
08037,6.6
08039,7.4
08041,11.8
08043,13.1
08045,8.4
08047,8.4
08049,11.5
08051,12.8
08053,11.8
08055,10.4
08057,9.2
08059,9.1
08061,11.7
08063,10
08065,9.1
08067,10.3
08069,11.5
08071,9.4
08073,11.1
08075,12.9
08077,12.9
08079,9.7
08081,10.7
08083,13.2
08085,12
08087,7.7
08089,11.3
08091,11.7
08093,9.4
08095,8.8
08097,10.7
08099,9.8
08101,10.6
08103,12.1
08105,9.5
08107,11.3
08109,11.2
08111,8.9
08113,11.9
08115,12.5
08117,9.9
08119,10
08121,10.6
08123,8.1
08125,10.6

09001,9.4
09003,11.5
09005,9.3
09007,9.7
09009,12.1
09011,11.2
09013,9.6
09015,11

10001,12.9
10003,11.7
