FIPS,value
02090,14.0
02170,24.0
01001,10.0
01003,20.0
01007,16.0
01009,16.0
01015,12.0
01021,18.0
01033,8.0
01051,6.0
01055,18.0
01061,10.0
01065,6.0
01067,10.0
01069,10.0
01073,18.0
01077,10.0
01079,16.0
01081,6.0
01083,8.0
01085,8.0
01089,8.0
01097,18.0
01101,6.0
01103,14.0
01107,14.0
01113,12.0
01117,14.0
01115,18.0
01125,14.0
01127,28.0
05007,14.0
05025,14.0
05031,16.0
05033,22.0
05035,10.0
05045,12.0
05051,26.0
05053,12.0
05069,6.0
05079,8.0
05081,14.0
05085,12.0
05087,12.0
05091,8.0
05105,16.0
05111,20.0
05119,16.0
05125,16.0
05131,20.0
05143,10.0
04003,20.0
04005,16.0
04013,24.0
04015,28.0
04019,30.0
04021,18.0
04025,30.0
04027,16.0
06001,12.0
06007,30.0
06013,12.0
06017,22.0
06019,16.0
06025,12.0
06029,24.0
06031,12.0
06037,16.0
06039,14.0
06041,14.0
06047,14.0
06053,14.0
06055,10.0
06059,12.0
06061,14.0
06065,16.0
06067,18.0
06069,10.0
06071,8.0
06073,16.0
06075,24.0
06077,20.0
06079,16.0
06081,10.0
06083,16.0
06085,8.0
06087,16.0
06089,30.0
06095,14.0
06097,16.0
06099,22.0
06101,12.0
06107,12.0
06111,16.0
06113,12.0
06115,8.0
08005,20.0
08013,18.0
08019,22.0
08031,30.0
08035,10.0
08041,22.0
08039,14.0
08047,22.0
08069,16.0
08077,18.0
08093,10.0
08101,26.0
08119,18.0
09001,14.0
09003,18.0
09007,18.0
09009,22.0
09011,20.0
09013,12.0
09015,20.0
11001,22.0
10001,16.0
10003,20.0
10005,18.0
12001,14.0
12003,22.0
12005,22.0
12009,30.0
12011,20.0
12015,14.0
12017,30.0
12019,22.0
12021,22.0
12031,22.0
12033,18.0
12035,16.0
12039,6.0
12041,20.0
12045,20.0
12053,30.0
12055,22.0
12057,22.0
12061,24.0
12065,12.0
12069,16.0
12071,24.0
12073,8.0
12081,30.0
12083,24.0
12085,26.0
12086,8.0
12089,24.0
12091,18.0
12095,16.0
12097,14.0
12099,28.0
12101,30.0
12103,30.0
12105,20.0
12113,20.0
12115,30.0
12117,18.0
12109,12.0
12111,26.0
12119,14.0
12127,26.0
12129,16.0
12131,22.0
13007,10.0
13013,18.0
13015,18.0
13021,14.0
13025,24.0
13027,8.0
13029,10.0
13033,10.0
13035,16.0
13045,22.0
13047,20.0
13051,12.0
13053,12.0
13057,14.0
13059,10.0
13063,12.0
13067,12.0
13073,10.0
13077,12.0
13079,16.0
13083,16.0
13085,16.0
13089,8.0
13095,8.0
13097,12.0
13101,10.0
13103,10.0
13113,12.0
13115,20.0
13117,12.0
13121,14.0
13127,16.0
13135,8.0
13139,14.0
13143,28.0
13145,10.0
13149,20.0
13151,14.0
13153,10.0
13159,16.0
13169,14.0
13171,18.0
13173,8.0
13177,10.0
13179,8.0
13181,16.0
13183,12.0
13185,6.0
13195,20.0
13197,10.0
13189,10.0
13191,16.0
13199,16.0
13207,12.0
13211,8.0
13213,24.0
13215,10.0
13217,12.0
13219,12.0
13221,14.0
13223,16.0
13225,16.0
13227,18.0
13231,10.0
13235,12.0
13245,16.0
13247,14.0
13255,14.0
13273,6.0
13289,16.0
13295,18.0
13297,14.0
13313,16.0
13321,12.0
15003,14.0
15005,20.0
15009,8.0
19011,6.0
19013,6.0
19017,8.0
19049,6.0
19061,8.0
19075,6.0
19077,8.0
19085,14.0
19103,8.0
19105,6.0
19113,10.0
19121,6.0
19129,10.0
19149,6.0
19153,12.0
19155,12.0
19163,14.0
19169,6.0
19181,8.0
19183,8.0
19193,10.0
16001,16.0
16005,22.0
16015,30.0
16019,20.0
16023,24.0
16027,10.0
16041,18.0
16045,18.0
16051,12.0
16055,14.0
16069,16.0
16073,16.0
17003,14.0
17005,8.0
17007,10.0
17013,12.0
17019,12.0
17027,6.0
17031,18.0
17039,20.0
17037,8.0
17043,12.0
17053,14.0
17063,18.0
17073,8.0
17077,12.0
17083,18.0
17089,10.0
17091,16.0
17093,10.0
17097,14.0
17115,12.0
17117,10.0
17119,20.0
17123,14.0
17111,14.0
17113,12.0
17129,12.0
17131,10.0
17133,10.0
17143,16.0
17147,8.0
17161,10.0
17167,12.0
17163,14.0
17175,10.0
17179,14.0
17183,18.0
17197,14.0
17199,16.0
17201,24.0
17203,10.0
18003,12.0
18005,16.0
18007,20.0
18011,12.0
18013,18.0
18015,12.0
18019,20.0
18021,14.0
18029,20.0
18035,22.0
18039,10.0
18043,16.0
18057,8.0
18059,16.0
18061,12.0
18063,10.0
18067,26.0
18073,14.0
18081,14.0
18091,14.0
18089,8.0
18095,30.0
18097,20.0
18105,16.0
18109,18.0
18111,16.0
18115,26.0
18119,14.0
18127,16.0
18129,12.0
18133,10.0
18143,30.0
18145,16.0
18141,12.0
18153,24.0
18157,14.0
18161,26.0
18163,24.0
18165,16.0
18167,16.0
18173,8.0
18175,16.0
18179,12.0
18183,10.0
20015,14.0
20043,10.0
20045,10.0
20079,10.0
20085,8.0
20087,12.0
20091,10.0
20095,16.0
20103,14.0
20107,16.0
20121,12.0
20139,16.0
20149,10.0
20161,8.0
20173,18.0
20177,16.0
20191,16.0
20197,12.0
20209,14.0
21003,18.0
21015,20.0
21017,22.0
21019,30.0
21023,20.0
21029,14.0
21031,22.0
21037,30.0
21047,10.0
21049,30.0
21059,16.0
21061,20.0
21067,22.0
21077,30.0
21081,30.0
21089,28.0
21091,14.0
21093,12.0
21101,14.0
21103,16.0
21111,22.0
21113,24.0
21117,30.0
21123,14.0
21149,24.0
21163,12.0
21185,10.0
21191,26.0
21209,14.0
21211,8.0
21215,14.0
21221,16.0
21223,20.0
21227,12.0
21239,22.0
22001,22.0
22005,14.0
22015,14.0
22017,14.0
22019,20.0
22023,20.0
22031,14.0
22033,12.0
22037,10.0
22043,16.0
22045,12.0
22047,10.0
22051,30.0
22055,16.0
22057,16.0
22063,26.0
