county+AF8-name,state+AF8-abbr,value
Cherokee County,GA,0.05390929326656
Clarke County,GA,0.06889166517937
Clayton County,GA,0.06540054927152
Cobb County,GA,0.04923952507114
Columbia County,GA,0.04505378953328
Coweta County,GA,0.06369183829138
Crawford County,GA,0.01063829787234
Dade County,GA,0.0288
Dawson County,GA,0.05673408978786
DeKalb County,GA,0.05400797165633
Dougherty County,GA,0.03549829082303
Douglas County,GA,0.03874211356467
Echols County,GA,0.04329004329004
Effingham County,GA,0.0691908947487
Fayette County,GA,0.02540544858992
Floyd County,GA,0.02478576137113
Forsyth County,GA,0.00747967479675
Fulton County,GA,0.06185138277159
Glynn County,GA,0.02830792878186
Gwinnett County,GA,0.04840029085621
Hall County,GA,0.02410610269737
Haralson County,GA,0.02909270216963
Harris County,GA,0.0672009864365
Heard County,GA,0.01472134595163
Henry County,GA,0.05448678168053
Houston County,GA,0.07777898985491
Jasper County,GA,0.0109649122807
Jones County,GA,0.05297438124186
Lamar County,GA,0.05894039735099
Lanier County,GA,0.0453720508167
Lee County,GA,0.03659026940088
Liberty County,GA,0.16686518678939
Lincoln County,GA,0.04366812227074
Long County,GA,0.08281938325991
Lowndes County,GA,0.09837262674734
Madison County,GA,0.10027855153203
Marion County,GA,0.01195814648729
McDuffie County,GA,0.02594514455152
McIntosh County,GA,0.00706713780919
Meriwether County,GA,0.02618135376756
Monroe County,GA,0.0484544695071
Morgan County,GA,0.04498044328553
Murray County,GA,0.02089081592432
Muscogee County,GA,0.08782976376505
Newton County,GA,0.04081632653061
Oconee County,GA,0.03436078827691
Oglethorpe County,GA,0.01019367991845
Paulding County,GA,0.05332606324973
Peach County,GA,0.03159851301115
Pickens County,GA,0.00911960715538
Pike County,GA,0.00072833211945
Richmond County,GA,0.07431576896854
Rockdale County,GA,0.0474817961165
Spalding County,GA,0.04942208051016
Stewart County,GA,0.03037974683544
Talbot County,GA,0.02707930367505
Terrell County,GA,0.10844892812106
Twiggs County,GA,0.03968253968254
Walker County,GA,0.03530565544296
Walton County,GA,0.04329655633567
Whitfield County,GA,0.03288543140028
Worth County,GA,0.03112391930836
Honolulu County,HI,0.09990407337217
Maui County,HI,0.04459655673097
Benton County,IA,0.05398566005905
Black Hawk County,IA,0.03857769118363
Boone County,IA,0.01795690343176
Bremer County,IA,0.00913900913901
Dallas County,IA,0.04427284427284
Dubuque County,IA,0.03386641580433
Grundy County,IA,0.0373665480427
Guthrie County,IA,0.01304753028891
Harrison County,IA,0.01474358974359
Jasper County,IA,0.03256212510711
Johnson County,IA,0.07539139686883
Jones County,IA,0.02424830261882
Linn County,IA,0.03589354499825
Madison County,IA,0.07372262773723
Mills County,IA,0.11054958938724
Polk County,IA,0.04154905335628
Pottawattamie County,IA,0.01914545879057
Scott County,IA,0.0292324641939
Story County,IA,0.10486139011651
Warren County,IA,0.04595920475084
Washington County,IA,0.05602536997886
Woodbury County,IA,0.06229508196721
Ada County,ID,0.06259287338893
Bannock County,ID,0.0342643715492
Boise County,ID,0.02564102564103
Bonneville County,ID,0.03499179879716
Butte County,ID,0
Canyon County,ID,0.06595794211221
Franklin County,ID,0.05005959475566
Gem County,ID,0.01336302895323
Jefferson County,ID,0.07774607703281
Jerome County,ID,0.06214285714286
Kootenai County,ID,0.04248755521279
Nez Perce County,ID,0.00354358610914
Owyhee County,ID,0.00834028356964
Power County,ID,0.00672268907563
Twin Falls County,ID,0.05449041372351
Alexander County,IL,0.02927927927928
Bond County,IL,0.00302663438257
Boone County,IL,0.01325648414986
Calhoun County,IL,0.01160541586074
Champaign County,IL,0.07540702656384
Clinton County,IL,0.03120832221926
Cook County,IL,0.04328781343263
DeKalb County,IL,0.05274506551667
DuPage County,IL,0.03073770491803
Fulton County,IL,0.0178866263071
Grundy County,IL,0.0284222737819
Henry County,IL,0.03977625854568
Jackson County,IL,0.1073032380052
Jersey County,IL,0.03360620422232
Johnson County,IL,0.03536754507628
Kane County,IL,0.03373522365786
Kankakee County,IL,0.04631801125704
Kendall County,IL,0.02769340718242
Lake County,IL,0.04503277861826
Macon County,IL,0.03292733278282
Macoupin County,IL,0.02577221906386
Madison County,IL,0.04057206225383
Marshall County,IL,0.02156133828996
McHenry County,IL,0.02397311800993
McLean County,IL,0.07872021017076
Menard County,IL,0.09335324869305
Mercer County,IL,0.0614934114202
Monroe County,IL,0.05157813702848
Peoria County,IL,0.04805057955743
Piatt County,IL,0.02089930335655
Rock Island County,IL,0.03801593048516
Sangamon County,IL,0.03765764698916
St. Clair County,IL,0.07130613644155
Stark County,IL,0.03305785123967
Tazewell County,IL,0.03647564237659
Vermilion County,IL,0.02305102305102
Will County,IL,0.02846231043711
Williamson County,IL,0.02605386416862
Winnebago County,IL,0.04039961440715
Woodford County,IL,0.01614405464142
Allen County,IN,0.04157218442933
Bartholomew County,IN,0.02479486264716
Benton County,IN,0.0295358649789
Boone County,IN,0.03096774193548
Brown County,IN,0.00947521865889
Carroll County,IN,0.03446261682243
Clark County,IN,0.03976784178848
Clay County,IN,0.11440058479532
Dearborn County,IN,0.03756298671553
Delaware County,IN,0.05633178088268
Elkhart County,IN,0.03990570803166
Floyd County,IN,0.02741020793951
Franklin County,IN,0.03746701846966
Hamilton County,IN,0.0363536968703
Hancock County,IN,0.04050302139474
Harrison County,IN,0.04810676598386
Hendricks County,IN,0.05819540843566
Howard County,IN,0.01842832697117
Jasper County,IN,0.06237584425904
Johnson County,IN,0.04209349972062
Lake County,IN,0.03357187960429
LaPorte County,IN,0.02481822588463
Madison County,IN,0.03451692815855
Marion County,IN,0.04062066355494
Monroe County,IN,0.05896772436334
Morgan County,IN,0.03734221598878
Newton County,IN,0.02201974183751
Ohio County,IN,0.02215189873418
Owen County,IN,0.01252699784017
Parke County,IN,0.01026225769669
Porter County,IN,0.02397177904273
Posey County,IN,0.01401214385801
Putnam County,IN,0.06949806949807
Shelby County,IN,0.02941176470588
St. Joseph County,IN,0.02631448042581
Sullivan County,IN,0.02743410435718
Tippecanoe County,IN,0.05191782208279
Union County,IN,0.0089928057554
Vanderburgh County,IN,0.03376952300549
Vermillion County,IN,0.06204379562044
Vigo County,IN,0.05531428571429
Warren County,IN,0.02582496413199
Warrick County,IN,0.04869659666908
Washington County,IN,0.03340563991323
Whitley County,IN,0.03203844613536
Butler County,KS,0.04397448808325
Doniphan County,KS,0.07823613086771
Douglas County,KS,0.10854700854701
Geary County,KS,0.17264879600182
Harvey County,KS,0.0550041356493
Jackson County,KS,0.02896341463415
Jefferson County,KS,0.03250688705234
Johnson County,KS,0.05312635457304
