metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2018,"San Mateo",CA,us-ca-081,0.20886327503975
Metropolitan,2018,"Santa Barbara",CA,us-ca-083,0.34414945919371
Metropolitan,2018,"Santa Clara",CA,us-ca-085,0.18282699654357
Metropolitan,2018,"Santa Cruz",CA,us-ca-087,0.2669864108713
Metropolitan,2018,Shasta,CA,us-ca-089,0.2176
Metropolitan,2018,Solano,CA,us-ca-095,0.16336633663366
Metropolitan,2018,Sonoma,CA,us-ca-097,0.27353535353535
Metropolitan,2018,Stanislaus,CA,us-ca-099,0.17411052233157
Metropolitan,2018,Sutter,CA,us-ca-101,0.21189591078067
Metropolitan,2018,Tulare,CA,us-ca-107,0.19583843329253
Metropolitan,2018,Ventura,CA,us-ca-111,0.2593177511055
Metropolitan,2018,Yolo,CA,us-ca-113,0.21640488656195
Metropolitan,2018,Yuba,CA,us-ca-115,0.20289855072464
Metropolitan,2018,Adams,CO,us-co-001,0.08672875436554
Metropolitan,2018,Arapahoe,CO,us-co-005,0.18153846153846
Metropolitan,2018,Boulder,CO,us-co-013,0.19347826086957
Metropolitan,2018,Broomfield,CO,us-co-014,0.15116279069767
Metropolitan,2018,"Clear Creek",CO,us-co-019,0
Metropolitan,2018,Denver,CO,us-co-031,0.1452784503632
Metropolitan,2018,Douglas,CO,us-co-035,0.19172297297297
Metropolitan,2018,"El Paso",CO,us-co-041,0.18720880982634
Metropolitan,2018,Elbert,CO,us-co-039,0.28571428571429
Metropolitan,2018,Gilpin,CO,us-co-047,0.33333333333333
Metropolitan,2018,Jefferson,CO,us-co-059,0.1990675990676
Metropolitan,2018,Larimer,CO,us-co-069,0.16231474947071
Metropolitan,2018,Mesa,CO,us-co-077,0.16690042075736
Metropolitan,2018,Park,CO,us-co-093,0.28571428571429
Metropolitan,2018,Pueblo,CO,us-co-101,0.20813008130081
Metropolitan,2018,Teller,CO,us-co-119,0.18181818181818
Metropolitan,2018,Weld,CO,us-co-123,0.20141843971631
Metropolitan,2018,Fairfield,CT,us-ct-001,0.20863446177254
Metropolitan,2018,Hartford,CT,us-ct-003,0.16368767638758
Metropolitan,2018,Middlesex,CT,us-ct-007,0.25591715976331
Metropolitan,2018,"New Haven",CT,us-ct-009,0.17299305443386
Metropolitan,2018,"New London",CT,us-ct-011,0.23856209150327
Metropolitan,2018,Tolland,CT,us-ct-013,0.29794520547945
Metropolitan,2018,Windham,CT,us-ct-015,0.22018348623853
Metropolitan,2018,"The District",DC,us-dc-001,0.16937090805579
Metropolitan,2018,Kent,DE,us-de-001,0.15441176470588
Metropolitan,2018,"New Castle",DE,us-de-003,0.19167579408543
Metropolitan,2018,Sussex,DE,us-de-005,0.25768667642753
Metropolitan,2018,Alachua,FL,us-fl-001,0.12606577344702
Metropolitan,2018,Baker,FL,us-fl-003,0.21428571428571
Metropolitan,2018,Bay,FL,us-fl-005,0.19480519480519
Metropolitan,2018,Brevard,FL,us-fl-009,0.21867555979038
Metropolitan,2018,Broward,FL,us-fl-011,0.24571428571429
Metropolitan,2018,Charlotte,FL,us-fl-015,0.33588957055215
Metropolitan,2018,Citrus,FL,us-fl-017,0.40556660039761
Metropolitan,2018,Clay,FL,us-fl-019,0.23131672597865
Metropolitan,2018,Collier,FL,us-fl-021,0.45973290165925
Metropolitan,2018,Duval,FL,us-fl-031,0.1609243697479
Metropolitan,2018,Escambia,FL,us-fl-033,0.2
Metropolitan,2018,Flagler,FL,us-fl-035,0.43026706231454
Metropolitan,2018,Gadsden,FL,us-fl-039,0.52083333333333
Metropolitan,2018,Gilchrist,FL,us-fl-041,0.11111111111111
Metropolitan,2018,Hernando,FL,us-fl-053,0.18004866180049
Metropolitan,2018,Highlands,FL,us-fl-055,0.31521739130435
Metropolitan,2018,Hillsborough,FL,us-fl-057,0.16818570207918
Metropolitan,2018,"Indian River",FL,us-fl-061,0.32837837837838
Metropolitan,2018,Jefferson,FL,us-fl-065,0.30769230769231
Metropolitan,2018,Lake,FL,us-fl-069,0.26892252894034
Metropolitan,2018,Lee,FL,us-fl-071,0.33430045132173
Metropolitan,2018,Leon,FL,us-fl-073,0.19600307455803
Metropolitan,2018,Levy,FL,us-fl-075,0.45238095238095
Metropolitan,2018,Manatee,FL,us-fl-081,0.34777150031387
Metropolitan,2018,Marion,FL,us-fl-083,0.21462043111528
Metropolitan,2018,Martin,FL,us-fl-085,0.33168927250308
Metropolitan,2018,Miami-Dade,FL,us-fl-086,0.27209074359333
Metropolitan,2018,Nassau,FL,us-fl-089,0.35064935064935
Metropolitan,2018,Okaloosa,FL,us-fl-091,0.18016759776536
Metropolitan,2018,Orange,FL,us-fl-095,0.14665304036791
Metropolitan,2018,Osceola,FL,us-fl-097,0.12820512820513
Metropolitan,2018,"Palm Beach",FL,us-fl-099,0.32846274604516
Metropolitan,2018,Pasco,FL,us-fl-101,0.21595487510073
Metropolitan,2018,Pinellas,FL,us-fl-103,0.26844303042354
Metropolitan,2018,Polk,FL,us-fl-105,0.27369118621604
Metropolitan,2018,"Santa Rosa",FL,us-fl-113,0.1025641025641
Metropolitan,2018,Sarasota,FL,us-fl-115,0.41663837011885
Metropolitan,2018,Seminole,FL,us-fl-117,0.17745302713987
Metropolitan,2018,"St. Johns",FL,us-fl-109,0.21246246246246
Metropolitan,2018,"St. Lucie",FL,us-fl-111,0.26375404530744
Metropolitan,2018,Sumter,FL,us-fl-119,0.48181818181818
Metropolitan,2018,Volusia,FL,us-fl-127,0.28103448275862
Metropolitan,2018,Wakulla,FL,us-fl-129,0.2
Metropolitan,2018,Walton,FL,us-fl-131,0.28828828828829
Metropolitan,2018,Barrow,GA,us-ga-013,0.13888888888889
Metropolitan,2018,Bartow,GA,us-ga-015,0.11363636363636
Metropolitan,2018,Bibb,GA,us-ga-021,0.17084078711986
Metropolitan,2018,Brantley,GA,us-ga-025,0
Metropolitan,2018,Brooks,GA,us-ga-027,0.6
Metropolitan,2018,Bryan,GA,us-ga-029,0.05714285714286
Metropolitan,2018,Burke,GA,us-ga-033,0.35
Metropolitan,2018,Butts,GA,us-ga-035,0.5
Metropolitan,2018,Carroll,GA,us-ga-045,0.13953488372093
Metropolitan,2018,Catoosa,GA,us-ga-047,0.15957446808511
Metropolitan,2018,Chatham,GA,us-ga-051,0.22721179624665
Metropolitan,2018,Chattahoochee,GA,us-ga-053,0.12244897959184
Metropolitan,2018,Cherokee,GA,us-ga-057,0.18787878787879
Metropolitan,2018,Clarke,GA,us-ga-059,0.15070921985816
Metropolitan,2018,Clayton,GA,us-ga-063,0.20820189274448
Metropolitan,2018,Cobb,GA,us-ga-067,0.17741305197343
Metropolitan,2018,Columbia,GA,us-ga-073,0.13233601841197
Metropolitan,2018,Coweta,GA,us-ga-077,0.1469387755102
Metropolitan,2018,Crawford,GA,us-ga-079,0.5
Metropolitan,2018,Dade,GA,us-ga-083,0.33333333333333
Metropolitan,2018,Dawson,GA,us-ga-085,0.10810810810811
Metropolitan,2018,DeKalb,GA,us-ga-089,0.12821475502159
Metropolitan,2018,Dougherty,GA,us-ga-095,0.21883656509695
Metropolitan,2018,Douglas,GA,us-ga-097,0.12994350282486
Metropolitan,2018,Echols,GA,us-ga-101,0
Metropolitan,2018,Effingham,GA,us-ga-103,0.22857142857143
Metropolitan,2018,Fayette,GA,us-ga-113,0.11868131868132
Metropolitan,2018,Floyd,GA,us-ga-115,0.18664047151277
Metropolitan,2018,Forsyth,GA,us-ga-117,0.1628664495114
Metropolitan,2018,Fulton,GA,us-ga-121,0.15279556124627
Metropolitan,2018,Glynn,GA,us-ga-127,0.296
Metropolitan,2018,Gwinnett,GA,us-ga-135,0.1303317535545
Metropolitan,2018,Hall,GA,us-ga-139,0.17796610169492
Metropolitan,2018,Haralson,GA,us-ga-143,0.45833333333333
Metropolitan,2018,Harris,GA,us-ga-145,0.30434782608696
Metropolitan,2018,Heard,GA,us-ga-149,0
Metropolitan,2018,Henry,GA,us-ga-151,0.12903225806452
Metropolitan,2018,Houston,GA,us-ga-153,0.14840989399293
Metropolitan,2018,Jasper,GA,us-ga-159,0.08333333333333
Metropolitan,2018,Jones,GA,us-ga-169,0
Metropolitan,2018,Lamar,GA,us-ga-171,0.30769230769231
Metropolitan,2018,Lanier,GA,us-ga-173,0.33333333333333
Metropolitan,2018,Lee,GA,us-ga-177,0
Metropolitan,2018,Liberty,GA,us-ga-179,0.15942028985507
Metropolitan,2018,Lincoln,GA,us-ga-181,0.5
Metropolitan,2018,Long,GA,us-ga-183,0
Metropolitan,2018,Lowndes,GA,us-ga-185,0.19417475728155
Metropolitan,2018,Madison,GA,us-ga-195,0.28571428571429
Metropolitan,2018,Marion,GA,us-ga-197,0.5
Metropolitan,2018,McDuffie,GA,us-ga-189,0
Metropolitan,2018,McIntosh,GA,us-ga-191,0.66666666666667
Metropolitan,2018,Meriwether,GA,us-ga-199,0.47619047619048
Metropolitan,2018,Monroe,GA,us-ga-207,0.19512195121951
Metropolitan,2018,Morgan,GA,us-ga-211,0.43243243243243
Metropolitan,2018,Murray,GA,us-ga-213,0.11764705882353
Metropolitan,2018,Muscogee,GA,us-ga-215,0.169099756691
Metropolitan,2018,Newton,GA,us-ga-217,0.13461538461538
Metropolitan,2018,Oconee,GA,us-ga-219,0.13397129186603
